AREA,AREA_TITLE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,6480,3.4,6.981,0.3,,,45.06,93730,3,17.5,24.83,36.42,56.53,79.71,36400,51640,75760,117580,165790,,
78,Virgin Islands,VI,000000,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,1180,10.4,35.115,1.52,,,45.81,95290,3.7,19.88,27.37,37.64,51.39,81.55,41360,56930,78290,106880,169610,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,170,15.5,0.187,1.37,,,50.88,105840,12.2,22.35,30.4,41.58,56.86,83.16,46490,63220,86490,118260,172970,,
66,Guam,GU,000000,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,180,11.3,2.849,1.17,,,31.98,66520,3.3,15,20.93,26.17,39.24,58.29,31200,43540,54430,81620,121240,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,790,8.9,0.853,0.35,,,48.95,101820,4.1,22.58,29.96,45.45,65.41,75.92,46970,62310,94540,136040,157910,,
78,Virgin Islands,VI,000000,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,40,17,1.086,0.45,,,38.91,80930,4.2,27.74,27.74,33.86,42.06,61.79,57700,57700,70420,87490,128530,,
66,Guam,GU,000000,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,200,5.4,3.14,0.83,,,31.18,64840,5.4,17.81,22.26,30.79,38.27,47.09,37040,46300,64030,79600,97950,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,1500,5,1.613,0.43,,,50.37,104760,2.8,23.39,30.27,41.46,63.75,81.08,48660,62960,86240,132600,168640,,
78,Virgin Islands,VI,000000,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,110,9.7,3.142,0.83,,,46.86,97470,13.7,23.49,27.24,30.5,52.55,77.38,48860,56650,63440,109300,160960,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,180,8.9,0.189,0.39,,,37.77,78570,3.7,18.95,24.04,33.37,46.75,66.78,39410,50000,69400,97240,138890,,
66,Guam,GU,000000,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,1150,6.8,17.796,11.14,,,29.09,60500,1.2,17.15,19.9,27.05,34.46,42.73,35670,41390,56260,71680,88870,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,3170,4,3.415,2.14,,,35.77,74410,2.1,17.23,22.71,30.05,41.53,63.32,35840,47240,62490,86390,131700,,
78,Virgin Islands,VI,000000,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,80,6.8,2.365,1.48,,,32.69,68000,3.9,20.7,26.45,29.23,38.46,46.89,43060,55020,60800,80000,97540,,
66,Guam,GU,000000,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,90,11,1.393,1.61,,,34.23,71190,2.4,17.85,22.58,28.85,43.8,56.16,37120,46970,60010,91100,116810,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,440,3.8,0.472,0.55,,,38.88,80860,2.2,17.96,24.41,36.01,49.19,65.24,37350,50770,74900,102310,135700,,
78,Virgin Islands,VI,000000,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,40,12.9,1.326,1.53,,,34.47,71700,7.3,17.61,27.11,31.74,42.3,52.96,36630,56390,66020,87980,110150,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,1500,3.4,1.613,0.41,,,48.98,101880,2.1,25.09,29.76,41.89,59.33,79.28,52180,61890,87130,123410,164900,,
78,Virgin Islands,VI,000000,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,50,6.3,1.362,0.35,,,40.06,83330,5.9,31,34.66,39.61,43.11,50.48,64480,72090,82390,89660,105000,,
66,Guam,GU,000000,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,390,6.8,6.045,1.17,,,39.91,83010,2.7,20.73,28.5,36.56,46.26,62.29,43120,59280,76050,96220,129550,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,3870,2.9,4.169,0.8,,,45.3,94220,1.3,21.17,27.73,37.36,55.95,77.39,44040,57690,77700,116380,160960,,
78,Virgin Islands,VI,000000,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,210,3.8,6.18,1.19,,,52.45,109090,3,28.36,34.85,42.09,56.11,99.03,58990,72490,87550,116700,205980,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,11-3051,Industrial Production Managers,detailed,1250,1.7,1.347,0.92,,,59.86,124510,0.9,24.76,40,60.26,76.21,87.65,51490,83190,125340,158520,182320,,
66,Guam,GU,000000,Cross-industry,cross-industry,1235,11-3061,Purchasing Managers,detailed,50,6.2,0.742,1.45,,,32.85,68320,2.8,16.42,23.78,30.29,38.48,51.75,34150,49470,63000,80040,107640,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,11-3061,Purchasing Managers,detailed,320,3.9,0.344,0.67,,,41.69,86720,2.3,19.8,26.9,37.66,51.63,68.17,41180,55960,78340,107400,141800,,
66,Guam,GU,000000,Cross-industry,cross-industry,1235,11-3071,"Transportation, Storage, and Distribution Managers",detailed,**,**,**,**,,,38.39,79850,1.8,22.85,28.89,37.87,45.43,56.23,47530,60090,78780,94490,116960,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,11-3071,"Transportation, Storage, and Distribution Managers",detailed,1030,5.8,1.107,0.85,,,41.6,86520,2.2,18.19,24.83,35.82,53.86,77.35,37840,51640,74510,112020,160880,,
78,Virgin Islands,VI,000000,Cross-industry,cross-industry,1235,11-3071,"Transportation, Storage, and Distribution Managers",detailed,40,19.1,1.166,0.89,,,31.73,65990,2.8,22.58,22.58,28.84,37.37,49.03,46960,46970,59990,77730,101980,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,11-3111,Compensation and Benefits Managers,detailed,40,13,0.042,0.34,,,41.78,86900,3,26.97,31.31,38.15,47.35,64.15,56100,65120,79360,98490,133430,,
66,Guam,GU,000000,Cross-industry,cross-industry,1235,11-3121,Human Resources Managers,detailed,70,4.6,1.025,0.78,,,36.62,76170,1.3,19.98,29.25,36.55,44.7,49.58,41560,60830,76030,92970,103130,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,11-3121,Human Resources Managers,detailed,1080,3.1,1.167,0.88,,,38.09,79230,1.4,20.29,25.22,31.93,45.6,67.41,42210,52460,66420,94840,140220,,
78,Virgin Islands,VI,000000,Cross-industry,cross-industry,1235,11-3121,Human Resources Managers,detailed,60,5.2,1.685,1.28,,,47.6,99010,3.5,28.84,33.65,40.72,47.78,71.42,59990,69990,84690,99380,148550,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,11-3131,Training and Development Managers,detailed,90,21.4,0.1,0.37,,,40.2,83610,3,21.63,30.72,39.14,51.53,53.96,44990,63900,81410,107190,112250,,
66,Guam,GU,000000,Cross-industry,cross-industry,1235,11-9021,Construction Managers,detailed,370,11.2,5.686,2.62,,,36.16,75210,5.7,17.52,22.99,31.42,42.7,59.27,36440,47820,65350,88810,123280,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,11-9021,Construction Managers,detailed,650,8.7,0.695,0.32,,,33.61,69900,3.9,18.11,23.71,32.96,40.01,47.79,37680,49320,68550,83220,99410,,
78,Virgin Islands,VI,000000,Cross-industry,cross-industry,1235,11-9021,Construction Managers,detailed,70,22.3,2.047,0.94,,,47.46,98720,3.5,31.25,37.61,47.83,59.93,61.58,65000,78220,99490,124650,128090,,
66,Guam,GU,000000,Cross-industry,cross-industry,1235,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,50,47.7,0.799,1.89,,,17.83,37080,8.4,13.82,14,14.06,19.28,25,28750,29110,29240,40100,52000,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,180,7.3,0.197,0.47,,,23.33,48520,2.8,14.08,15.77,21.35,29.02,34.56,29280,32800,44410,60360,71890,,
66,Guam,GU,000000,Cross-industry,cross-industry,1235,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,120,5.2,1.82,0.91,,,*,77740,2.1,*,*,*,*,*,47440,66720,83620,83620,102970,True,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,1320,2.9,1.427,0.72,,,*,57250,1.8,*,*,*,*,*,38390,50100,53980,65530,67740,True,
78,Virgin Islands,VI,000000,Cross-industry,cross-industry,1235,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,140,3.9,4.163,2.09,,,*,80380,1.5,*,*,*,*,*,48190,62010,81250,86390,108170,True,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,11-9033,"Education Administrators, Postsecondary",detailed,1120,1.9,1.203,1.09,,,33.78,70260,0.7,17.59,21.68,30.65,48.55,51.85,36590,45100,63740,100990,107840,,
66,Guam,GU,000000,Cross-industry,cross-industry,1235,11-9039,"Education Administrators, All Other",detailed,200,0.8,3.089,9.25,,,55.3,115030,0.5,42.26,48.78,55.43,63.01,70.72,87900,101460,115290,131060,147100,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,11-9039,"Education Administrators, All Other",detailed,280,8.2,0.3,0.9,,,40.02,83240,2.9,21.53,26.33,39.47,52.86,62.19,44780,54770,82100,109950,129360,,
66,Guam,GU,000000,Cross-industry,cross-industry,1235,11-9041,Architectural and Engineering Managers,detailed,50,8.2,0.785,0.57,,,48.61,101100,2.7,34.75,37.86,42.72,59.38,67.14,72270,78740,88850,123500,139650,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,11-9041,Architectural and Engineering Managers,detailed,970,2.6,1.05,0.77,,,58.27,121210,0.8,36.25,41.16,54.67,69.46,83.35,75400,85610,113720,144470,173370,,
66,Guam,GU,000000,Cross-industry,cross-industry,1235,11-9051,Food Service Managers,detailed,110,8.8,1.713,1.06,,,22.96,47770,2.9,15.13,18,19.75,24.18,36.05,31470,37440,41080,50290,74980,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,11-9051,Food Service Managers,detailed,1710,7.1,1.846,1.14,,,18.71,38920,3,13.63,14.44,17.34,19.66,28.28,28350,30040,36070,40900,58830,,
78,Virgin Islands,VI,000000,Cross-industry,cross-industry,1235,11-9051,Food Service Managers,detailed,80,23.2,2.305,1.42,,,28.93,60160,5.1,17.49,22.61,30.11,30.11,36.2,36380,47020,62620,62630,75300,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,11-9071,Gambling Managers,detailed,50,20.9,0.057,1.89,,,36.92,76800,2.9,22.82,23.7,32.6,52.57,58.92,47460,49290,67810,109350,122560,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,11-9072,"Entertainment and Recreation Managers, Except Gambling",detailed,50,17.4,0.053,0.27,,,26.15,54380,7.3,13.57,14.26,23.21,37.84,40.05,28220,29660,48270,78700,83300,,
66,Guam,GU,000000,Cross-industry,cross-industry,1235,11-9081,Lodging Managers,detailed,100,8.4,1.515,5.48,,,23.09,48020,3.5,14.42,16.4,20.53,25.21,33.65,29990,34100,42700,52440,69990,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,11-9081,Lodging Managers,detailed,120,12.4,0.133,0.48,,,31.88,66300,6.2,21.07,24.45,26.26,34.98,48.89,43830,50860,54630,72760,101690,,
66,Guam,GU,000000,Cross-industry,cross-industry,1235,11-9111,Medical and Health Services Managers,detailed,120,9.6,1.883,0.56,,,50.93,105930,6.1,25,30.22,44.59,57.24,103.79,52000,62870,92740,119060,215890,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,11-9111,Medical and Health Services Managers,detailed,1270,2.8,1.37,0.4,,,47.87,99560,1.7,22.43,26.19,38.29,63.37,81.2,46650,54470,79650,131810,168900,,
78,Virgin Islands,VI,000000,Cross-industry,cross-industry,1235,11-9111,Medical and Health Services Managers,detailed,70,9.3,2.16,0.64,,,47.27,98320,1.7,27.51,34.83,40.51,53.17,79.54,57220,72450,84260,110600,165440,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,11-9121,Natural Sciences Managers,detailed,50,2.8,0.058,0.09,,,54.67,113720,1,31.09,50.51,55.24,61.55,72.4,64670,105060,114900,128020,150590,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,11-9131,Postmasters and Mail Superintendents,detailed,90,0,0.093,1.02,,,45.99,95660,0,41.24,43.04,45.47,48.39,50.45,85780,89520,94580,100650,104940,,
66,Guam,GU,000000,Cross-industry,cross-industry,1235,11-9141,"Property, Real Estate, and Community Association Managers",detailed,**,**,**,**,,,38.15,79340,12.9,16.78,24.04,35.38,43.98,57.37,34890,50000,73600,91480,119330,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,11-9141,"Property, Real Estate, and Community Association Managers",detailed,110,12.3,0.115,0.06,,,33.85,70400,5.7,15.4,17.73,30.12,46.19,55.32,32030,36870,62640,96080,115060,,
78,Virgin Islands,VI,000000,Cross-industry,cross-industry,1235,11-9141,"Property, Real Estate, and Community Association Managers",detailed,60,38.7,1.81,0.97,,,25.65,53350,12.8,14.42,14.43,20.02,28.84,46.37,29990,30010,41630,59990,96450,,
66,Guam,GU,000000,Cross-industry,cross-industry,1235,11-9151,Social and Community Service Managers,detailed,30,9.7,0.507,0.44,,,27.14,56460,3.3,19.71,22.24,23.49,34.03,35.27,40990,46260,48860,70770,73360,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,11-9151,Social and Community Service Managers,detailed,640,5.6,0.687,0.6,,,26.1,54280,2,15.1,18.39,23.52,30.9,40,31400,38260,48930,64270,83200,,
78,Virgin Islands,VI,000000,Cross-industry,cross-industry,1235,11-9151,Social and Community Service Managers,detailed,50,5.9,1.412,1.24,,,32.48,67560,2.4,20,25.65,32.06,38.62,45.67,41600,53360,66680,80330,94990,,
66,Guam,GU,000000,Cross-industry,cross-industry,1235,11-9199,"Managers, All Other",detailed,150,4.3,2.257,0.58,,,46.08,95850,1.5,24,30.78,46.86,56.82,65.66,49920,64030,97470,118190,136570,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,11-9199,"Managers, All Other",detailed,5450,1.9,5.874,1.51,,,40.68,84620,1,19.37,25.53,36,50.09,67.09,40290,53100,74880,104190,139540,,
78,Virgin Islands,VI,000000,Cross-industry,cross-industry,1235,11-9199,"Managers, All Other",detailed,180,5.3,5.48,1.41,,,52.64,109490,4.4,26.44,34.44,42.9,62.11,93.04,55000,71640,89240,129190,193530,,
66,Guam,GU,000000,Cross-industry,cross-industry,1235,13-0000,Business and Financial Operations Occupations,major,2930,2.1,45.26,0.68,,,29.16,60650,0.6,15.17,19.62,25.99,36.47,47.78,31560,40810,54050,75860,99380,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,13-0000,Business and Financial Operations Occupations,major,54590,1.2,58.807,0.89,,,22.45,46690,1.1,10.9,14.23,18.78,27.46,38.74,22670,29600,39070,57120,80590,,
78,Virgin Islands,VI,000000,Cross-industry,cross-industry,1235,13-0000,Business and Financial Operations Occupations,major,2040,1.9,60.506,0.91,,,31.72,65970,1.4,17.56,20.82,28.55,38.18,48.39,36530,43310,59380,79410,100660,,
66,Guam,GU,000000,Cross-industry,cross-industry,1235,13-1020,Buyers and Purchasing Agents,detailed,210,5.9,3.299,1.05,,,31.2,64900,1,14.64,18.94,27.46,45.02,52.08,30450,39400,57120,93640,108330,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,13-1020,Buyers and Purchasing Agents,detailed,5470,6.2,5.888,1.87,,,15.49,32220,1.9,9.24,9.57,11,18.57,28.55,19220,19900,22880,38620,59380,,
78,Virgin Islands,VI,000000,Cross-industry,cross-industry,1235,13-1020,Buyers and Purchasing Agents,detailed,100,20.5,2.825,0.9,,,29.42,61200,16.9,12.74,15.62,21.64,35.59,69.09,26490,32490,45010,74020,143700,,
66,Guam,GU,000000,Cross-industry,cross-industry,1235,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,80,7.8,1.167,0.6,,,24.5,50960,1.9,15.16,17.88,22.74,28.43,37.65,31530,37190,47300,59130,78310,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,2340,4.2,2.516,1.3,,,22.23,46240,1.4,11.86,14.08,19.46,26.84,38.71,24670,29280,40480,55820,80520,,
78,Virgin Islands,VI,000000,Cross-industry,cross-industry,1235,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,30,13.6,0.92,0.48,,,29.17,60680,2,16.48,17.48,24.29,38.15,47.78,34280,36360,50520,79360,99380,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,13-1032,"Insurance Appraisers, Auto Damage",detailed,170,16.4,0.185,3.23,,,16.99,35340,5,11.09,14.1,14.69,20.33,25.32,23060,29330,30560,42280,52670,,
66,Guam,GU,000000,Cross-industry,cross-industry,1235,13-1041,Compliance Officers,detailed,270,2.9,4.154,1.64,,,32.15,66870,0.7,16.3,19.94,29.18,44.71,49.11,33900,41480,60690,93000,102150,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,13-1041,Compliance Officers,detailed,4880,2.1,5.256,2.08,,,25.59,53230,0.9,13.27,16.36,22.43,30.44,46.2,27600,34030,46660,63320,96090,,
78,Virgin Islands,VI,000000,Cross-industry,cross-industry,1235,13-1041,Compliance Officers,detailed,200,2.2,5.892,2.33,,,34.17,71080,0.7,18.91,23.55,31.25,43.8,49.11,39330,48990,65000,91100,102150,,
66,Guam,GU,000000,Cross-industry,cross-industry,1235,13-1051,Cost Estimators,detailed,60,12.8,0.853,0.59,,,26.97,56090,5,12.9,16.33,26.84,32.24,46.77,26820,33970,55830,67070,97280,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,13-1051,Cost Estimators,detailed,390,11.3,0.422,0.29,,,25.17,52340,12.7,11.31,14.62,19.2,30.4,49.8,23520,30410,39930,63230,103580,,
66,Guam,GU,000000,Cross-industry,cross-industry,1235,13-1071,Human Resources Specialists,detailed,350,2.6,5.406,0.92,,,26.02,54130,0.8,17.84,19.97,24.43,29.71,36.36,37110,41540,50810,61800,75630,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,13-1071,Human Resources Specialists,detailed,3240,2.8,3.492,0.59,,,21.25,44190,2.4,11.7,13.99,17.81,23.92,32.44,24340,29090,37030,49760,67480,,
78,Virgin Islands,VI,000000,Cross-industry,cross-industry,1235,13-1071,Human Resources Specialists,detailed,140,9.9,4.092,0.69,,,28.31,58880,3.7,19.52,23.3,27.3,31,38.09,40610,48470,56790,64490,79220,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,13-1075,Labor Relations Specialists,detailed,140,47,0.156,0.38,,,24.27,50490,1.6,15.1,19.07,22.88,28.21,31.92,31410,39670,47590,58680,66400,,
66,Guam,GU,000000,Cross-industry,cross-industry,1235,13-1081,Logisticians,detailed,100,2.8,1.535,1.02,,,30.73,63920,1.9,17.21,24.36,29.29,35.69,50.44,35790,50660,60920,74240,104920,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,13-1081,Logisticians,detailed,1030,8.2,1.111,0.74,,,25.12,52250,1.8,14.31,17.04,21.88,30.68,38.9,29760,35450,45510,63800,80910,,
66,Guam,GU,000000,Cross-industry,cross-industry,1235,13-1082,Project Management Specialists,detailed,170,5.6,2.566,0.41,,,30.91,64280,1.9,19.73,21.64,27.05,32.74,45.67,41050,45010,56260,68100,94990,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,13-1082,Project Management Specialists,detailed,1170,8.1,1.255,0.2,,,31.96,66470,6.4,12.56,17.96,28.54,40.76,62.75,26120,37350,59360,84790,130510,,
78,Virgin Islands,VI,000000,Cross-industry,cross-industry,1235,13-1082,Project Management Specialists,detailed,80,6.7,2.489,0.4,,,38.12,79280,3.1,22.86,26.44,34.85,51.78,57.69,47560,55000,72480,107700,120000,,
66,Guam,GU,000000,Cross-industry,cross-industry,1235,13-1111,Management Analysts,detailed,**,**,**,**,,,35,72800,2.4,21.64,26.9,31.92,41.14,49.11,45010,55950,66390,85570,102150,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,13-1111,Management Analysts,detailed,2900,8.4,3.128,0.57,,,32.31,67210,5.2,15.16,20.05,29.32,38.74,53.22,31530,41700,60980,80590,110700,,
78,Virgin Islands,VI,000000,Cross-industry,cross-industry,1235,13-1111,Management Analysts,detailed,70,28,2.157,0.39,,,38.96,81050,6.8,23.67,26.13,35.35,46.24,57.61,49230,54350,73530,96170,119820,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,13-1121,"Meeting, Convention, and Event Planners",detailed,1010,18.9,1.086,1.35,,,21.38,44460,20.1,9.37,11.31,15.82,29.9,44.25,19490,23520,32910,62190,92030,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,13-1131,Fundraisers,detailed,120,29.3,0.131,0.19,,,19.4,40350,6.8,14.7,17.15,18.28,22.25,23.93,30570,35680,38030,46280,49760,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,250,3.5,0.267,0.41,,,21.49,44710,2.2,11.9,14.5,18.77,24.25,35.93,24760,30160,39040,50440,74730,,
66,Guam,GU,000000,Cross-industry,cross-industry,1235,13-1151,Training and Development Specialists,detailed,40,13.6,0.629,0.24,,,19.66,40890,4.1,11.42,12.75,16.44,26.72,32.22,23750,26520,34200,55570,67020,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,13-1151,Training and Development Specialists,detailed,650,3.5,0.7,0.26,,,19.38,40310,1.2,11.61,13.98,17.6,22.97,30.55,24160,29090,36610,47770,63540,,
78,Virgin Islands,VI,000000,Cross-industry,cross-industry,1235,13-1151,Training and Development Specialists,detailed,40,24,1.172,0.44,,,25.5,53030,10.4,11.29,19.67,24.25,33.55,40.97,23490,40910,50440,69780,85210,,
66,Guam,GU,000000,Cross-industry,cross-industry,1235,13-1161,Market Research Analysts and Marketing Specialists,detailed,80,14,1.285,0.23,,,22.38,46550,2.4,15,17.94,21.11,25.18,29.25,31200,37310,43910,52380,60840,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,13-1161,Market Research Analysts and Marketing Specialists,detailed,1840,8.3,1.983,0.36,,,17.26,35900,3.4,10.07,11.54,14.99,21.38,26.07,20940,24000,31170,44480,54230,,
78,Virgin Islands,VI,000000,Cross-industry,cross-industry,1235,13-1161,Market Research Analysts and Marketing Specialists,detailed,80,14.1,2.427,0.44,,,22.13,46020,9.3,11.43,11.43,18.36,27.08,39.12,23780,23780,38190,56320,81370,,
66,Guam,GU,000000,Cross-industry,cross-industry,1235,13-1199,"Business Operations Specialists, All Other",detailed,420,2.2,6.419,0.88,,,39.72,82620,2.3,24.86,32.03,39.82,46.45,52.08,51710,66620,82830,96620,108330,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,13-1199,"Business Operations Specialists, All Other",detailed,8470,1,9.123,1.26,,,24.21,50360,0.4,13.44,15.33,21.53,30.2,40.87,27960,31880,44780,62820,85010,,
78,Virgin Islands,VI,000000,Cross-industry,cross-industry,1235,13-1199,"Business Operations Specialists, All Other",detailed,450,5.7,13.36,1.84,,,30.77,64010,1.6,18.43,18.7,30.2,39.04,47.78,38330,38900,62820,81200,99380,,
66,Guam,GU,000000,Cross-industry,cross-industry,1235,13-2011,Accountants and Auditors,detailed,480,4.6,7.436,0.79,,,23.54,48960,2.2,15.73,17.84,21.32,27.46,33.67,32720,37110,44350,57120,70030,,
72,Puerto Rico,PR,000000,Cross-industry,cross-industry,1235,13-2011,Accountants and Auditors,detailed,11860,3.8,12.775,1.35,,,20.2,42010,1.6,11.41,14.15,17.65,23.24,30.44,23720,29440,36700,48330,63310,,
78,Virgin Islands,VI,000000,Cross-industry,cross-industry,1235,13-2011,Accountants and Auditors,detailed,360,4.9,10.61,1.12,,,30.37,63170,2.2,18.2,20.89,28.34,36.73,45.6,37860,43450,58950,76400,94840,,
